0,0.583980636164307,0.358574090772365,6.08210970478784,0.344999999865289,0.289992214125087,-3.46038885068673e-05,0,0,0,0,0,0
0.001,0.583982690762208,0.358514408753339,6.08207966309166,0.344999996892488,0.289962583132039,-0.000166297191869146,0.00407286890177321,-0.118520565960949,-0.0596659212342753,-9.78571837362316e-06,-0.0588431377291115,-0.261525060290609
0.002,0.583988696498624,0.358338717467465,6.08199118521629,0.34499996547285,0.289875356203043,-0.000553972459101069,0.0078899346687981,-0.232037697631778,-0.116894650328303,-6.38181003326198e-05,-0.115201242889489,-0.512005602441082
0.003,0.583998362395857,0.358051962666462,6.08184664322341,0.344999841571071,0.289732990142768,-0.00118671075522248,0.0113826626356064,-0.340666941286962,-0.171814730845249,-0.000200709733026291,-0.16913088098737,-0.751693333733317
0.004,0.584011334401399,0.357658974070483,6.08164828585708,0.34499952544417,0.289537884889995,-0.00205384637749042,0.0144934353818228,-0.444524742387416,-0.224544192559838,-0.000453262424187195,-0.220689182749133,-0.980842880960393
0.005,0.584027205969238,0.357164464686244,6.08139824890539,0.344998887279521,0.289292383064141,-0.00314496934327438,0.0171746522649653,-0.543728035752099,-0.275191109692878,-0.000848935542234051,-0.26993363047904,-1.19971095741657
0.006,0.584045527621827,0.356573030478886,6.08109856482649,0.344997772299063,0.288998769698799,-0.00444992713621708,0.019387882206507,-0.638393896768044,-0.32385418975918,-0.00141028894689664,-0.316921875447086,-1.40855561461905
0.007,0.584065815638673,0.355889150393669,6.08075117173774,0.344996005405796,0.288659272158624,-0.00595882567001478,0.0211030659685288,-0.728639233291537,-0.370623373933627,-0.0021554017041511,-0.361711576131486,-1.60763554658814
0.008,0.584087560169807,0.355117186700902,6.08035792202652,0.344993395530301,0.288276060223033,-0.00766202953218803,0.0222977399733279,-0.814580510559599,-0.415580466359703,-0.00309828111802319,-0.404360253176676,-1.79720943463557
0.009,0.584110232355788,0.354261385449839,6.07992059000001,0.344989739448311,0.287851246234803,-0.00955016190500376,0.0229563294991571,-0.896333525520105,-0.458799745772571,-0.00424923658533633,-0.444925169712838,-1.97753537917822
0.01,0.584133290948169,0.353325877442016,6.07944087929054,0.344984825340484,0.287386885511868,-0.0116141032654866,0.0230694595681078,-0.974013191734441,-0.500348584836828,-0.00561524493210851,-0.483463217181212,-2.14887033572191
0.011,0.584156188128553,0.352314678881347,6.07892042922221,0.344978435916374,0.286884976607322,-0.0138449907171024,0.0226333323686565,-1.04773337802398,-0.540288044105008,-0.0072002816981398,-0.520030828599367,-2.31146965928203
0.012,0.58417837487904,0.35123169298008,6.07836082118708,0.344970351314643,0.286347462048517,-0.0162342150821501,0.0216491076716136,-1.11760673693274,-0.578673469479636,-0.00900565108031233,-0.554683886856092,-2.46558661388421
0.013,0.584199305443043,0.350080710593813,6.07776358351887,0.344960351497504,0.285776228604076,-0.0187734200465068,0.0201223914636896,-1.18374459830106,-0.615555013259115,-0.0110302592301676,-0.587477666497961,-2.61147203355879
0.014,0.58421844193314,0.348865412267377,6.0771301971847,0.344948218746437,0.28517310824922,-0.0214544980880158,0.0180626429322517,-1.24625683119555,-0.650978236895278,-0.0132709311607374,-0.618466758993982,-2.74937388864216
0.015,0.584235257338592,0.347589369465432,6.07646209939079,0.344933739287288,0.284539878743732,-0.0242695880216586,0.0154827775509208,-1.30525176633256,-0.684984525701487,-0.0157226232563322,-0.647705030096434,-2.87953702275312
0.016,0.584249239326494,0.346256045596392,6.07576068779018,0.344916705332099,0.283878264098602,-0.0272110730299018,0.0123986686159989,-1.36083611538139,-0.717611620696915,-0.0183786905426499,-0.675245574615633,-3.00220285443622
0.017,0.584259892723594,0.344868798970913,6.0750273242975,0.344896916448479,0.283189936016519,-0.0302715741399799,0.00882871398464713,-1.4131148837762,-0.748894069797408,-0.0212311186220947,-0.701140668673897,-3.11760907903611
0.018,0.584266741663238,0.343430883360102,6.07426333733643,0.344874180708172,0.282476514145125,-0.0334439490525383,0.0047935321780412,-1.46219133584567,-0.77886355867511,-0.0242706868557705,-0.725441749268234,-3.22598951512933
0.019,0.584269332140146,0.34194544986608,6.07347002501473,0.344848316070644,0.281739566976502,-0.036721287926241,0.000315531369163497,-1.50816693673992,-0.807549370835921,-0.0274871994861406,-0.748199381019081,-3.32757386925016
0.02,0.584267233107432,0.340415549785221,6.07264865738811,0.344819151007568,0.28098061325489,-0.0400969068233291,-0.00458138230195539,-1.55114130972458,-0.834978691898844,-0.0308696418020679,-0.769463231984585,-3.42258757078403
0.021,0.584260038098147,0.338844135106689,6.07180047800776,0.34478652536473,0.280201122205525,-0.0435643464506214,-0.00987207469640628,-1.59121221468209,-0.861176899145609,-0.0344063249494688,-0.78928206022545,-3.51125165958449
0.022,0.584247366378326,0.337234061135874,6.07092670595613,0.344750291006271,0.27940251482218,-0.0471173659768161,-0.0155305049168995,-1.62847551601532,-0.886167894501214,-0.0380850578386639,-0.80770369458377,-3.59378264203041
0.023,0.584228863407705,0.335588088697701,6.07002853709656,0.344710312086597,0.278586164954064,-0.050749937832381,-0.0215299265119945,-1.6630251671105,-0.909974310005517,-0.041893254703923,-0.82477502490785,-3.67039241382151
0.024,0.58420420189044,0.333908884760057,6.06910714500706,0.344666465605898,0.27775339960228,-0.0544562459594335,-0.0278431203829471,-1.69495319605672,-0.93261774500497,-0.0458180595853309,-0.840541992574765,-3.74128818164689
0.025,0.584173081767498,0.332199025961019,6.06816368228638,0.344618641449611,0.276905500667805,-0.0582306774418351,-0.0344426245577319,-1.72434969641584,-0.9541189909888,-0.0498464688048348,-0.855049583536531,-3.80667240285549
